0,1,2,3,4,5,6,7
llama3.1:8b,4,2,0,3.82,12,9.13,4.342
llama3.1:8b,4,2,1,3.82,12,12.79,3.515
llama3.1:8b,4,2,2,3.82,12,8.97,4.167
llama3.1:8b,4,2,3,3.82,12,17.76,0.907
llama3.1:8b,4,2,4,3.82,12,10.4,3.202
llama3.1:8b,4,2,5,3.82,12,9.38,4.557
llama3.1:8b,4,2,6,3.82,12,7.95,4.04
llama3.1:8b,6,0,0,6.18,0,4.48,3.472
llama3.1:8b,6,0,1,6.18,0,3.27,2.985
llama3.1:8b,6,0,2,6.18,0,4.0,2.593
llama3.1:8b,6,0,3,6.18,0,15.74,0.98
llama3.1:8b,6,0,4,6.18,0,9.99,3.285
llama3.1:8b,6,0,5,6.18,0,3.38,2.935
llama3.1:8b,6,0,6,6.18,0,3.23,2.587
llama3.1:8b,6,0,0,6.18,2,5.31,3.224
llama3.1:8b,6,0,1,6.18,2,3.87,3.271
llama3.1:8b,6,0,2,6.18,2,2.74,3.083
llama3.1:8b,6,0,3,6.18,2,12.31,0.827
llama3.1:8b,6,0,4,6.18,2,13.78,2.296
llama3.1:8b,6,0,5,6.18,2,3.48,2.954
llama3.1:8b,6,0,6,6.18,2,3.55,3.371
llama3.1:8b,6,0,0,6.18,4,5.62,3.565
llama3.1:8b,6,0,1,6.18,4,4.82,3.767
llama3.1:8b,6,0,2,6.18,4,5.06,3.28
llama3.1:8b,6,0,3,6.18,4,10.72,0.799
llama3.1:8b,6,0,4,6.18,4,4.28,3.34
llama3.1:8b,6,0,5,6.18,4,4.84,3.393
llama3.1:8b,6,0,6,6.18,4,4.35,3.477
llama3.1:8b,6,0,0,6.18,6,7.4,3.188
llama3.1:8b,6,0,1,6.18,6,6.04,3.582
llama3.1:8b,6,0,2,6.18,6,5.08,3.691
llama3.1:8b,6,0,3,6.18,6,9.89,1.071
llama3.1:8b,6,0,4,6.18,6,10.66,2.692
llama3.1:8b,6,0,5,6.18,6,4.17,3.193
llama3.1:8b,6,0,6,6.18,6,5.43,3.655
llama3.1:8b,6,0,0,6.18,8,6.19,2.94
llama3.1:8b,6,0,1,6.18,8,6.99,3.53
llama3.1:8b,6,0,2,6.18,8,6.97,3.637
llama3.1:8b,6,0,3,6.18,8,13.56,0.82
llama3.1:8b,6,0,4,6.18,8,11.85,2.549
llama3.1:8b,6,0,5,6.18,8,7.52,3.793
llama3.1:8b,6,0,6,6.18,8,9.48,3.757
llama3.1:8b,6,0,0,6.18,10,7.18,3.121
